Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Airport,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR13990,1. Seizure,Mexico,1/25/2018 0:00,"420g of sea cucumber seized at Merida International Airport, one person arrested",Merida International Airport,Isostichopus badionotus,"Chocolate Chip Cucumber, Three-rowed Cucumber",Individual - Dead,79,420,Grams,,,
MOR14042,1. Seizure,Mozambique,3/4/2018 0:00,"Four rhino horn weighing 7.2kg seized at Maputo International Airport, one Vietnamese national arrested",Maputo International Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,4,7.199999809,Kilograms,,,
MOR14113,1. Seizure,South Africa,12/8/2017 0:00,"Two tusks seized at Kuruman Airport, three men arrested and appear in court",Kuruman Airport,Elephantidae,Elephants,Tusk,2,,,,,
MOR14136,1. Seizure,Morocco,3/1/2018 0:00,"60kg of glass eels seized from 10 suitcases at Mohammed V International Airport, Casablanca",Mohammed V International Airport,Anguilla anguilla,"Common eel, Eel, European eel, River eel, Silver eel, Sing eel, Weed eel, Yellow eel, Anguila, Anguila europea, Anguilla, Anguilla catarrojina, Anguilla fartona, Anguilla maresa, Anguilla martina, Anguilla pastorenca, Anguilla pugaron, Angèle, Anguielo",Fingerlings/fry,,60,Kilograms,,,
MOR14181,1. Seizure,Mexico,5/1/2018 0:00,"740g of seahorses and 30kg of sea cucumber seized at Mexico City International Airport, one passenger detained",Mexico City International Airport,Isostichopus fuscus,Brown Sea Cucumber,Individual - Dead,,30,Kilograms,,,
MOR14417,1. Seizure,China,3/30/2018 0:00,"Two rhino horns seized at Kunming Airport, one male suspect arrested",Kunming Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,2,6.980000019,Kilograms,,,
MOR14503,1. Seizure,Lebanon,5/1/2018 0:00,2 white-throated guenons seized from Beirut International Airport,Beirut International Airport,Cercopithecus erythrogaster,"Red-bellied Guenon, Red-bellied Monkey, White-throated Guenon, White-throated Monkey, Cercopithèque à ventre roux",Individual - Live,2,,,,,
MOR14712,1. Seizure,Thailand,1/5/2018 0:00,3 tusks & 31 ivory pieces (148 kg combined) were seized at Suvarnabhumi International Airport,Suvarnabhumi International Airport,Elephantidae,Elephants,Tusk,3,148,Kilograms,,,469800
MOR14712,1. Seizure,Thailand,1/5/2018 0:00,3 tusks & 31 ivory pieces (148 kg combined) were seized at Suvarnabhumi International Airport,Suvarnabhumi International Airport,Elephantidae,Elephants,Ivory Pieces - Raw,31,148,Kilograms,,,469800
MOR14739,1. Seizure,Indonesia,3/25/2018 0:00,90kg of shark fins seized at Soekarno-Hatta International Airport,Soekarno-Hatta International Airport,Carcharhinus limbatus,Blacktip shark,Fins,,90,Kilograms,,,
MOR14975,1. Seizure,China,4/30/2018 0:00,Large piece of hard coral seized at Chengdu Shuangliu International Airport,Chengdu Shuangliu Airport,Scleractinia,"Stony Corals, Corales Pétreos, Coraux Durs",Coral - Raw,1,6.099999905,Kilograms,,,
MOR14984,1. Seizure,Mexico,4/1/2018 0:00,20kg of sea cucumber seized at Tijuana Airport in postal package,Tijuana Airport,Holothuroidea,Sea Cucumber,Individual - Dead,,20,Kilograms,,,
